,predictions,true_labels
0,5.393650531768799,5.258260726928711
1,5.320008277893066,5.163102149963379
2,5.132136344909668,5.091560363769531
3,5.052742958068848,5.015528678894043
4,4.965258598327637,4.9481520652771
5,4.897841453552246,4.892045021057129
6,4.85468053817749,4.8284502029418945
7,4.811887741088867,4.768796920776367
8,4.773825645446777,4.712902069091797
9,4.7379326820373535,4.660121917724609
10,4.702805042266846,4.609796524047852
11,4.670053482055664,4.562258720397949
12,4.636175155639648,4.5171003341674805
13,4.606034755706787,4.47416353225708
14,4.578112602233887,4.432954788208008
15,4.552241325378418,4.392330646514893
16,4.5259552001953125,4.354770660400391
17,4.498208999633789,4.31843376159668
18,4.4759931564331055,4.283725738525391
19,4.4523725509643555,4.25016450881958
20,4.430710792541504,4.217898845672607
21,4.411020278930664,4.186856269836426
22,4.393186569213867,4.156757354736328
23,4.373335838317871,4.1275739669799805
24,4.357172966003418,4.099569320678711
25,4.342048645019531,4.072182655334473
26,4.323856830596924,4.045536994934082
27,4.3111724853515625,4.018799304962158
28,4.298494338989258,3.9940006732940674
29,4.28659725189209,3.969869613647461
30,5.480355262756348,5.250463485717773
31,5.3114914894104,5.163172245025635
32,5.199317932128906,5.093857765197754
33,5.072449684143066,5.0152363777160645
34,4.97674560546875,4.9476704597473145
35,4.898176670074463,4.891727447509766
36,4.8534440994262695,4.828317642211914
37,4.812695503234863,4.768794059753418
38,4.773388862609863,4.712502479553223
39,4.737436294555664,4.659858703613281
40,4.703902244567871,4.609778881072998
41,4.6716766357421875,4.562305450439453
42,4.6391377449035645,4.517129898071289
43,4.6086015701293945,4.474217414855957
44,4.578146934509277,4.4329986572265625
45,4.55096435546875,4.392330169677734
46,4.52580451965332,4.354775428771973
47,4.498163223266602,4.318438529968262
48,4.475356578826904,4.283730506896973
49,4.453526973724365,4.250290393829346
50,4.430665493011475,4.217903137207031
51,4.410974979400635,4.186861038208008
52,4.393172264099121,4.15676212310791
53,4.372966766357422,4.127597808837891
54,4.35714054107666,4.099573612213135
55,4.341556549072266,4.072211742401123
56,4.323666572570801,4.045561790466309
57,4.309884071350098,4.019341468811035
58,4.297670364379883,3.994913101196289
59,4.285807132720947,3.9706220626831055
60,5.993433952331543,5.772233009338379
61,5.852370262145996,5.683985710144043
62,5.761606693267822,5.601845741271973
63,5.645627021789551,5.519876956939697
64,5.727721691131592,5.449867248535156
65,5.51606559753418,5.3687615394592285
66,5.258140563964844,5.323627471923828
67,5.244680404663086,5.271979331970215
68,5.190857887268066,5.213369846343994
69,5.124834060668945,5.162336349487305
70,5.039754390716553,5.1102294921875
71,5.037487506866455,5.0726542472839355
72,4.998404502868652,5.041060447692871
73,4.981694221496582,4.988412857055664
74,4.924270153045654,4.969657897949219
75,4.909733772277832,4.92978572845459
76,4.895162582397461,4.8914475440979
77,4.882575988769531,4.854606628417969
78,4.868141174316406,4.819019317626953
79,4.856955528259277,4.785085678100586
80,4.8446149826049805,4.751896858215332
81,4.833255767822266,4.720113754272461
82,4.822545051574707,4.689474105834961
83,4.814004898071289,4.659652233123779
84,4.805147647857666,4.630753040313721
85,4.7955451011657715,4.602726459503174
86,4.785190582275391,4.575559616088867
87,4.774409770965576,4.549106597900391
88,4.7662506103515625,4.523471832275391
89,4.75857400894165,4.498618125915527
90,6.04604434967041,5.778295040130615
91,5.776851654052734,5.680826187133789
92,5.721065044403076,5.5938568115234375
93,5.696743488311768,5.525826930999756
94,5.655998706817627,5.4439697265625
95,5.2927045822143555,5.389907360076904
96,5.327569961547852,5.316988945007324
97,5.284038543701172,5.25739049911499
98,5.250669956207275,5.217879295349121
99,5.10662317276001,5.161441802978516
100,5.064333915710449,5.117854118347168
101,5.044896125793457,5.074170112609863
102,4.974020957946777,5.0402984619140625
103,4.9845476150512695,4.998270511627197
104,4.924116134643555,4.969666004180908
105,4.909479141235352,4.929577827453613
106,4.895314693450928,4.891313076019287
107,4.881617546081543,4.854438304901123
108,4.868820667266846,4.819052696228027
109,4.855719089508057,4.784821510314941
110,4.844341278076172,4.751941680908203
111,4.833879470825195,4.720199108123779
112,4.823225021362305,4.68917989730835
113,4.813591957092285,4.65956974029541
114,4.8041534423828125,4.630770683288574
115,4.7961273193359375,4.602750778198242
116,4.786786079406738,4.575563430786133
117,4.776862144470215,4.54918098449707
118,4.7654500007629395,4.523479461669922
119,4.758510589599609,4.498627662658691
120,6.336600303649902,6.19986629486084
121,6.208467483520508,6.092790126800537
122,6.114760398864746,5.9988532066345215
123,6.012002944946289,5.917783260345459
124,5.88094425201416,5.833770275115967
125,5.898041725158691,5.776264667510986
126,5.73569917678833,5.704456329345703
127,5.682923793792725,5.652761936187744
128,5.732157230377197,5.592757225036621
129,5.642940998077393,5.552225589752197
130,5.5805253982543945,5.496540546417236
131,5.581038475036621,5.444465160369873
132,5.41485595703125,5.39622163772583
133,5.356719017028809,5.355532169342041
134,5.355337619781494,5.326972007751465
135,5.257979869842529,5.295745849609375
136,5.1980791091918945,5.254672050476074
137,5.216283798217773,5.216409683227539
138,5.185205459594727,5.18345832824707
139,5.133481979370117,5.1569366455078125
140,5.1778411865234375,5.120954513549805
141,5.103551864624023,5.096857070922852
142,5.086980819702148,5.07000207901001
143,5.086759567260742,5.054823875427246
144,5.087584495544434,5.015223503112793
145,5.067637920379639,4.998898506164551
146,5.063464641571045,4.971360683441162
147,5.059120178222656,4.944765567779541
148,5.054990291595459,4.918930530548096
149,5.050840377807617,4.893475532531738
150,6.382022380828857,6.193115711212158
151,6.223665714263916,6.099812030792236
152,6.085094928741455,5.9991774559021
153,6.005504131317139,5.921128273010254
154,5.960127830505371,5.840171813964844
155,5.826742172241211,5.766576290130615
156,5.719941139221191,5.7041850090026855
157,5.729348182678223,5.654895782470703
158,5.6923418045043945,5.59896993637085
159,5.643459320068359,5.547478199005127
160,5.538631439208984,5.497038841247559
161,5.458740234375,5.450235366821289
162,5.400940895080566,5.404979705810547
163,5.21144962310791,5.362804412841797
164,5.264357566833496,5.3180437088012695
165,5.174400806427002,5.293147087097168
166,5.20182991027832,5.250448226928711
167,5.232278347015381,5.215107440948486
168,5.135467529296875,5.180681228637695
169,5.130308151245117,5.148622512817383
170,5.178826808929443,5.119349479675293
171,5.091137886047363,5.100499629974365
172,5.1220903396606445,5.068830490112305
173,5.080798149108887,5.046788215637207
174,5.0722975730896,5.027101039886475
